genotype,High,Low,Medium,n_response,n_response_tier
'IOWA I 205' X I159,,,111.9733047,,
2369 X 3IIH6,107.801177,107.929615,170.41254583333333,-0.12843800000000272,Medium responder
2369 X LH123HT,105.89946499999999,87.5325265,183.30687625000002,18.36693849999999,High responder
2369 X PHN82,,119.3435225,211.1643875,,
2369 X PHP02,105.0686915,89.22266225,126.30951858333333,15.84602925,High responder
2369 X PHZ51,82.77370875,89.05482275,173.7397696,-6.281114000000002,Low responder
2FACC X 3IIH6,90.21741875000001,97.20761250000001,125.76599533333332,-6.990193750000003,Low responder
4N506 X 3IIH6,103.55108,105.81466499999999,171.61483016666668,-2.263584999999992,Medium responder
66 X A344,,,100.17399358333334,,
66 X B7,,,100.53506924999999,,
66 X CI 3A,,,81.0436949,,
66 X I159,,,100.53205566666666,,
66 X K201,,,84.47772280000001,,
66 X OS426,,,109.20969124999999,,
A344 X OS426,,,84.611343125,,
B105 X 3IIH6,107.56351749999999,104.935615,161.21430216666667,2.6279024999999905,Medium responder
B14A X MO17,106.81880724999999,124.6567675,164.31026625,-17.83796025000001,Low responder
B37 X H95,46.1624875,58.96386825,104.96048133333333,-12.80138075,Low responder
B37 X MO17,,71.9032335,118.4584382,,
B37 X OH43,72.2581065,,140.909214,,
B7 X A344,,,96.94329583333332,,
B7 X OS426,,,83.4526985,,
B73 X 3IIH6,134.9842925,128.278935,153.35487758333332,6.705357500000019,Medium responder
B73 X MO17,131.9696775,102.495785,201.606032,29.47389249999999,High responder
B73 X PHM49,98.14352975,82.7436525,136.494242,15.399877250000003,High responder
B73 X PHN82,101.86385775,105.76718,186.73779083333332,-3.903322250000002,Low responder
B73 X PHZ51,75.33724000000001,,150.183488875,,
B84 X 3IIH6,85.6439275,89.5431025,167.74324233333334,-3.8991749999999996,Low responder
C.I. 540 X I159,,,94.8426199,,
C.I. 540 X OS426,,,80.09710366666667,,
CI 3A X I159,,,56.2234946,,
F42 X MO17,101.369103,93.087465,163.34679583333335,8.281638000000001,Medium responder
F42 X OH43,72.73321775,100.79717600000001,159.86662908333332,-28.063958250000013,Low responder
HOEGEMEYER 7089 AMXT,127.0480575,105.66473500000001,201.25511699999998,21.38332249999999,High responder
K201 X A344,,,121.91612966666666,,
K201 X I159,,,93.1187615,,
K201 X OS426,,,89.8316272,,
K64 X 66,,,108.09810229999998,,
K64 X A344,,,105.35134891666667,,
K64 X B7,,,147.04606375,,
K64 X CI 3A,,,104.17547616666667,,
K64 X I159,,,127.402451,,
K64 X K201,,,71.67063475,,
K64 X KYS,,,66.364442,,
K64 X OS426,,,107.5458335,,
KYS X I159,,,71.19338133333333,,
KYS X OS426,,,58.53745849999999,,
L 289 X I159,,,82.175892125,,
L 289 X OS426,,,52.18060366666666,,
LH123HT X 3IIH6,126.63441449999999,107.58860625,195.44955299999998,19.045808249999993,High responder
LH123HT X PHB47,,97.14366,149.91021066666667,,
LH145 X LH162,59.974292500000004,74.6941825,117.21281583333332,-14.719889999999992,Low responder
LH185 X LH145,96.20947375,63.17003,171.734548,33.039443750000004,High responder
LH185 X LH82,109.867535,105.41035500000001,204.62930749999998,4.457179999999994,Medium responder
LH185 X W606S,,,178.60005,,
LH195 X 3IIH6,112.5788225,117.370375,181.33082750000003,-4.7915524999999946,Low responder
LH195 X LH123HT,80.465386,89.4480725,178.2997521,-8.9826865,Low responder
LH195 X LH185,71.1579775,90.036284,143.9736015,-18.878306499999994,Low responder
LH195 X PHM49,93.7230875,94.66828100000001,163.452159,-0.945193500000002,Medium responder
LH195 X PHZ51,88.88784625,79.64413625,163.702591,9.243709999999993,High responder
LH198 X PHB47,110.54362,89.31312,173.58102125,21.230500000000006,High responder
LH198 X PHZ51,,85.7732235,186.046086,,
LH74 X PHM49,103.3904125,86.76057,149.19420625,16.629842499999995,High responder
LH74 X PHN82,109.13885024999999,122.15449000000001,169.15231666666668,-13.01563975000002,Low responder
LH82 X PHB47,115.6374275,101.0374975,138.06290125,14.59993,High responder
LH82 X PHJ89,97.34477000000001,98.24068,136.43271875,-0.8959099999999864,Medium responder
LH82 X W606S,99.802345,110.5824035,144.67352083333333,-10.780058499999996,Low responder
N209 X 3IIH6,109.888025,104.16436125,179.27335166666668,5.72366375,Medium responder
OS426 X 'IOWA I 205',,,93.8701771,,
OS426 X CI 3A,,,63.66826225,,
OS426 X I159,,,94.68323699999999,,
PHB47 X 3IIH6,110.2062085,87.1999675,157.9756182,23.006241000000003,High responder
PHB47 X LH185,83.051095,98.378745,166.00687299999998,-15.327649999999991,Low responder
PHB47 X PHJ89,81.405218,105.60922,153.33948883333332,-24.20400199999999,Low responder
PHB47 X PHK56,99.06731,93.630499,149.42653491666667,5.436811000000006,Medium responder
PHG39 X PHM49,86.984545,105.89053,152.56040875,-18.905985,Low responder
PHJ40 X LH82,115.9975625,90.79320000000001,158.001631,25.204362499999988,High responder
PHK56 X 3IIH6,133.73255999999998,106.0452525,187.320741,27.687307499999974,High responder
PHK56 X LH145,,100.09280874999999,178.7126554,,
PHK56 X LH185,104.801374,124.23287,200.327334,-19.43149600000001,Low responder
PHK56 X LH198,110.469134,117.61635025,186.61935833333334,-7.14721625,Low responder
PHK56 X LH82,115.466985,112.8997025,167.29398833333332,2.5672824999999904,Medium responder
PHK56 X PHJ89,96.798781,84.00643,168.18574416666667,12.79235100000001,High responder
PHK56 X W606S,49.0853285,46.337636,27.02285375,2.7476924999999994,Medium responder
PHK76 X 3IIH6,118.16902,106.2105115,143.16401000000002,11.958508500000008,High responder
PHK76 X LH145,88.59197975000001,103.035526,149.87985333333333,-14.443546249999997,Low responder
PHK76 X LH198,109.26276849999999,93.6076975,189.288667,15.655070999999992,High responder
PHK76 X LH82,57.7879715,53.83307775,59.30101080000001,3.9548937499999965,Medium responder
PHK76 X W606S,115.177283,110.9555015,178.8509474,4.221781500000006,Medium responder
PHN46 X PHB47,106.60903525,98.43334,192.652639,8.175695250000004,Medium responder
PHN46 X PHK56,104.06172000000001,93.766085,153.34281366666667,10.295635000000004,High responder
PHN46 X W606S,91.80876,110.234083,203.84103466666667,-18.42532299999999,Low responder
PHP02 X LH145,,86.5934335,136.45395641666667,,
PHP02 X LH185,81.9637105,86.030433,119.46334041666667,-4.066722499999997,Low responder
PHP02 X LH198,101.8492085,98.34452625,120.90303241666668,3.504682250000002,Medium responder
PHP02 X LH82,102.2871025,91.42883499999999,154.02391041666667,10.85826750000001,High responder
PHP02 X PHB47,85.82967500000001,82.99783,153.78213583333334,2.8318450000000155,Medium responder
PHP02 X PHG47,96.8173535,94.2876905,187.6609899,2.5296629999999993,Medium responder
PHP02 X PHJ89,102.03638125,108.661142,155.8753896,-6.624760749999993,Low responder
PHP02 X PHK56,98.533649,,157.03079258333335,,
PHP02 X PHK76,101.96461525,105.40642199999999,142.73279583333334,-3.441806749999998,Medium responder
PHP02 X PHN46,115.35109750000001,,154.91318750000002,,
PHP02 X W606S,101.5418525,98.50920500000001,155.57952158333333,3.032647499999996,Medium responder
PHT69 X 3IIH6,111.719605,101.7647475,161.08294800000002,9.954857500000003,High responder
PHW52 X LH185,115.03413375,103.41075875,194.35052041666665,11.623374999999996,High responder
PHW52 X PHM49,96.98335499999999,95.55347875,143.40117916666665,1.4298762499999924,Medium responder
PHW52 X PHN82,121.72967349999999,91.38825725,156.31828466666667,30.341416249999995,High responder
PHW52 X PHZ51,100.5491485,91.943105,166.13516291666667,8.606043499999998,Medium responder
PHZ51 X LH145,91.781886,80.54209399999999,139.50958133333333,11.239792000000008,High responder
PIONEER P0589 AMXT,117.404265,117.380865,202.785327,0.023399999999995202,Medium responder
SYNGENTA NK0659-3120-EZ1,,111.4927165,202.79957750000003,,
SYNGENTA NK0760-3111,116.041065,120.19586,210.462385,-4.154794999999993,Low responder
WF9 X H95,53.3962135,81.6015355,99.66615166666666,-28.205321999999995,Low responder
WYFFELS W1782,149.0860475,124.0856,206.73968,25.000447500000007,High responder
