genotype,TP1,TP2,TP3,TP4
'IOWA I 205' X I159,92.1955,88.16138,88.197,92.17687
2369 X 3IIH6,92.267555,89.00153,88.99264,92.15015
2369 X LH123HT,92.26755,84.45509,84.541756,92.12342
2369 X PHN82,92.32096,88.54726,88.612625,92.17687
2369 X PHP02,92.267555,89.57768,89.593376,92.17687
2369 X PHZ51,92.32096,83.896034,83.95255,92.17687
2FACC X 3IIH6,92.1955,88.49812,88.49049,92.17687
4N506 X 3IIH6,92.267555,85.56526,85.60384,92.17687
66 X A344,92.08718,91.27345,91.28682,92.17687
66 X B7,92.08718,86.37537,86.38873,92.15015
66 X CI 3A,92.08718,88.42141,88.42141,92.15015
66 X I159,92.08719,86.56435,86.56435,92.15015
66 X K201,92.21414,88.33137,88.43922,92.15015
66 X OS426,92.08719,86.84912,86.84912,92.17687
A344 X OS426,92.08718,92.15015,92.17687,92.17687
B105 X 3IIH6,92.21414,88.681816,88.68413,92.15015
B14A X MO17,92.32096,82.48292,82.525696,92.17687
B37 X H95,92.21414,83.198616,83.22193,92.15015
B37 X MO17,92.32096,86.500404,86.57637,92.15015
B37 X OH43,92.21414,84.32092,84.32092,92.17687
B7 X A344,92.08718,89.61201,89.61201,92.17687
B7 X OS426,92.08718,86.835754,86.84912,92.17687
B73 X 3IIH6,92.32096,87.614525,87.64547,92.17687
B73 X MO17,92.32096,84.079185,84.1332,92.15015
B73 X PHM49,92.267555,82.59578,82.65768,92.17687
B73 X PHN82,92.26755,82.46485,82.510895,92.12342
B73 X PHZ51,91.80465,81.67624,81.67624,91.66056
B84 X 3IIH6,92.267555,85.171,85.198074,92.15015
C.I. 540 X I159,92.21414,88.41333,88.41333,92.15015
C.I. 540 X OS426,92.21414,86.1864,86.19976,92.17687
CI 3A X I159,92.01363,88.41333,88.41333,92.15015
F42 X MO17,92.32096,83.78481,83.81577,92.17687
F42 X OH43,92.32096,85.00907,85.05655,92.12342
HOEGEMEYER 7089 AMXT,92.32096,89.15071,89.1957,92.12342
K201 X A344,92.06855,89.42131,89.42131,92.17687
K201 X I159,92.21414,87.024734,87.05145,92.12342
K201 X OS426,92.21414,88.41333,88.41333,92.12342
K64 X 66,92.21414,88.367004,88.40359,92.17687
K64 X A344,92.08719,86.835754,86.86249,92.17687
K64 X B7,92.08718,92.17687,92.15015,92.17687
K64 X CI 3A,92.21414,86.55098,86.55098,92.15015
K64 X I159,92.21414,88.341125,88.41333,92.15015
K64 X K201,92.267555,92.232895,92.12342,92.15015
K64 X KYS,92.13273,88.341125,88.41333,92.12342
K64 X OS426,92.21414,88.48632,88.41333,92.15015
KYS X I159,92.21414,86.49682,86.55098,92.12342
KYS X OS426,92.21414,86.55098,86.55098,92.15015
L 289 X I159,92.21414,92.12342,92.15015,92.15015
L 289 X OS426,92.06855,86.835754,86.84912,92.17687
LH123HT X 3IIH6,92.21414,85.25143,85.34146,92.15015
LH123HT X PHB47,91.80465,83.92832,83.99585,91.66056
LH145 X LH162,92.21414,89.99214,90.0055,92.17687
LH185 X LH145,92.32096,88.880806,88.88972,92.17687
LH185 X LH82,91.80465,89.76448,89.76448,91.66056
LH185 X W606S,92.26755,92.06046,92.12342,92.17687
LH195 X 3IIH6,92.267555,83.95964,84.020485,92.15015
LH195 X LH123HT,92.32096,82.33039,82.38466,92.17687
LH195 X LH185,92.26755,82.502335,82.545105,92.15015
LH195 X PHM49,92.140594,82.44602,82.50792,92.17687
LH195 X PHZ51,92.32096,82.41201,82.46627,92.17687
LH198 X PHB47,92.267555,84.858,84.895935,92.17687
LH198 X PHZ51,92.32096,89.26324,89.3392,92.15015
LH74 X PHM49,92.32096,83.17755,83.23181,92.17687
LH74 X PHN82,92.26755,84.627914,84.68054,92.17687
LH82 X PHB47,92.32096,89.76293,89.77183,92.17687
LH82 X PHJ89,92.267555,90.10656,90.14266,92.17687
LH82 X W606S,92.466934,89.2439,89.32106,92.17687
N209 X 3IIH6,92.267555,84.907906,84.95538,92.17687
OS426 X 'IOWA I 205',92.08718,89.05307,89.05307,92.15015
OS426 X CI 3A,92.21414,86.55098,86.56435,92.17687
OS426 X I159,92.267555,88.16138,88.17919,92.17687
PHB47 X 3IIH6,92.21414,88.85436,88.90829,92.17687
PHB47 X LH185,92.32096,85.745476,85.83551,92.17687
PHB47 X PHJ89,92.26755,89.88745,89.93247,92.17687
PHB47 X PHK56,92.24082,89.33274,89.359825,92.17687
PHG39 X PHM49,92.267555,83.66224,83.67242,92.17687
PHJ40 X LH82,92.32096,90.412506,90.49916,92.17687
PHK56 X 3IIH6,92.32096,88.91055,88.95557,92.17687
PHK56 X LH145,92.267555,91.71886,91.708176,92.17687
PHK56 X LH185,92.32096,84.73705,84.76514,92.17687
PHK56 X LH198,92.32096,85.46068,85.508156,92.17687
PHK56 X LH82,92.32096,90.01555,90.06177,92.17687
PHK56 X PHJ89,92.32096,88.645546,88.67649,92.17687
PHK56 X W606S,92.693184,84.10148,84.10148,92.693184
PHK76 X 3IIH6,92.21414,89.44987,89.457504,92.15015
PHK76 X LH145,92.26755,89.52585,89.52585,92.15015
PHK76 X LH198,92.267555,87.20648,87.25007,92.12342
PHK76 X LH82,92.17687,83.69348,83.70239,92.15015
PHK76 X W606S,92.32096,88.36298,88.34452,92.17687
PHN46 X PHB47,92.267555,82.55727,82.593376,92.15015
PHN46 X PHK56,92.267555,86.82228,86.8898,92.17687
PHN46 X W606S,92.32096,83.79702,83.79081,92.12342
PHP02 X LH145,92.21414,91.57932,91.588234,92.17687
PHP02 X LH185,92.21414,89.91211,90.00214,92.17687
PHP02 X LH198,92.267555,88.66402,88.697784,92.17687
PHP02 X LH82,92.21414,90.03064,90.039345,92.17687
PHP02 X PHB47,92.21414,89.53019,89.54586,92.17687
PHP02 X PHG47,92.267555,89.807724,89.81536,92.17687
PHP02 X PHJ89,92.267555,89.50571,89.55963,92.17687
